run_id,beam_size,img,label_true,context_true,label_generated
20220403_031656,5,144.jpg,James Stewart and Grace Kelly in Rear Window (1954),Still image from the film Read Window featuring Stewart and Kelly,The author of the two stories created by series creator Chris Carter
20220403_031656,5,145.jpg,Kim Novak by the Golden Gate Bridge in Vertigo (1958)[g],Still image from the film Vertigo,The film was extensively shot in the 1950s .
20220403_031656,5,146.jpg,Psycho mosaic in the Hitchcock Gallery at Leytonstone tube station,Mosaic image from the film Psycho at Leytonstone tube station,The scene from the film
20220403_031656,5,149.jpg,"Hitchcock at work on Family Plot, San Francisco, summer 1975",Image of Hitchcock seated during the filming of Family Plot,The film was inspired by the film for his film .
20220403_031656,5,150.jpg,Hitchcock's cameo appearance in The Lady Vanishes (1938),Still from The Lady Vanishes depicting Hitchcock,Portrait of Queen Elizabeth I in the aftermath of the 1956
20220403_031656,5,151.jpg,Hitchcock at Mount Rushmore filming North by Northwest (1959),Image of Hitchcock pictured under Mount Rushmore during the filming of North by Northwest,The film was recorded in the 1950s .
20220403_031656,5,185.jpg,"Emilio Segr, one of the discoverers of the main-group element astatine",A greyscale photo of the upper body of a man,John Large
20220403_031656,5,186.jpg,"Neptunium series, showing the decay products, including astatine-217, formed from neptunium-237","a sequence of differently colored balls, each containing a two-letter symbol and some numbers",An example of a typical ethnic groups
20220403_031656,5,193.jpg,"Ada Byron, aged four","Ada Byron, portrait at age four",Portrait of Katharine Hepburn ( c. 1797 )
20220403_031656,5,194.jpg,"Ada Byron, aged seven, by Alfred d'Orsay, 1822, Somerville College, Oxford.","Ada Byron, portrait at age 7","John Byron ( Amelia Curran , 1819 )"
20220403_031656,5,195.jpg,"Ada Byron, aged seventeen, 1832","Ada Byron, portrait drawn at age 17","John Byron , circa 1840"
20220403_031656,5,196.jpg,"Watercolour portrait of Ada King, Countess of Lovelace, circa 1840, possibly by Alfred Edward Chalon","Ada King, Countess of Lovelace. Watercolour portrait circa 1840","Portrait of Queen Charlotte , Lady of Lady Hamilton , c. 1775"
20220403_031656,5,197.jpg,"Painting of Lovelace seated at a piano, by Henry Phillips (1852). Although in great pain at the time, she agreed to sit for the painting as her father, Lord Byron, had been painted by Phillips' father, Thomas Phillips.","Ada Lovelace, painted portrait circa 1852","Portrait of Katharine Wright , c. 1870"
20220403_031656,5,198.jpg,Portrait of Ada by British painter Margaret Sarah Carpenter (1836),"Ada Lovelace, painted portrait circa 1836","Portrait of Amelia Bloomer , c. 1870"
20220403_031656,5,199.jpg,"Lovelace's diagram from ""note G"", the first published computer algorithm",Diagram for the computation by the Engine of the Numbers of Bernoulli,Figure 1 : An example of the method of some of the two phases
20220403_031656,5,200.jpg,"An illustration inspired by the A. E. Chalon portrait created for the Ada Initiative, which supported open technology and women",Illustration of Ada Lovelace's portrait in a gold frame,Portrait of Elizabeth I
20220403_031656,5,201.jpg,"Blue plaque to Ada Lovelace in St. James's Square, London","Plaque to Ada Lovelace that reads ""English Heritage, Ada Countess of Lovelace, 18151852, Pioneer of Computing lived here""","The plaque for Mary Anning , her mother"
20220403_031656,5,245.jpg,A sign language interpreter at a presentation,"signing man sitting in the foreground, with a speaker standing at a podium in the background",The episode was written by Mike Scully .
20220403_031656,5,247.jpg,"The ASL phrase ""American Sign Language"", written in Stokoe notation",text written in Stokoe notation,The title page of the first edition of The Fairchild Family
20220403_031656,5,248.jpg,"The ASL phrase ""American Sign Language"", written in Sutton SignWriting",text written in Sutton SignWriting,The letter `` A '' written by Joseph Smith
20220403_031656,5,249.jpg,Phonemic handshape /2/[+ closed thumb]:12,ASL sign for the number 2,An example of a red card
20220403_031656,5,250.jpg,Two men and a woman signing,two men and a woman signing,The music video was created by Pendleton Ward ( pictured in 2006 ) .
20220403_031656,5,251.jpg,The American manual alphabet and numbers.,"chart of letters in the American manual alphabet, with Latin script equivalents",Map of the US Navy alphabet
20220403_031656,5,380.jpg, Arabic numerals set in Source Sans,Arabic numerals set in Source Sans,A simple smiley
20220403_031656,5,381.jpg,"Map of the Juan Fernndez Islands, where Selkirk lived as a castaway",Shaded relief map of the Juan Fernndez Islands with blue ocean he died on the island background,Map of the Fernando de Noronha
20220403_031656,5,382.jpg,Selkirk reading his Bible in one of two huts he built on a mountainside,Engraving of Selkirk sitting in the doorway of a hut reading a Bible,William H. Powell
20220403_031656,5,383.jpg,"The rescued Selkirk, seated at right, being taken aboard Duke.","Selkirk, seated in a ship's boat, being taken aboard Duke.","The expedition ship Discovery on the left , standing at the rear of the ship ."
20220403_031656,5,384.jpg,An illustration of Crusoe in goatskin clothing shows the influence of Selkirk,"Engraving of Robinson Crusoe standing on the shore of an island, dressed in hair-covered goatskin clothing","The 1895 sketch of Alice 's Adventures in Wonderland , 1865"
20220403_031656,5,385.jpg,"Plaque for Selkirk in Lower Largo, Scotland, which reads: ""In memory of Alexander Selkirk, mariner, the original of Robinson Crusoe who lived on the island of Juan Fernndez in complete solitude for four years and four months. He died 1723 [sic], lieutenant of HMS Weymouth, aged 47 years [sic]. This statue is erected by David Gillies, net manufacturer, on the site of the cottage in which Selkirk was born.""",Bronze plaque in memory of Selkirk affixed to a building,The bronze plaque at the site
20220403_031656,5,386.jpg,Interactive animation of the structure of ATP,A chemical formula,"An example of a crystal structure , which is a central organic symbol ."
20220403_031656,5,397.jpg,Gabriel Franchre's 1813 sketch of Fort Astoria.,1813 sketch of Fort Astoria,Map of Fort Astoria
20220403_031656,5,398.jpg, An Astoria Salmon cannery.,An Astoria Salmon cannery.,The ice hockey plant is located in orange .
20220403_031656,5,399.jpg,The Port of Astoria (2009).,Port of Astoria,The Port of Portland
20220403_031656,5,400.jpg,The AstoriaMegler Bridge.,AstoriaMegler Bridge,A ferry to the railway station
20220403_031656,5,401.jpg,The Astoria Column.,Astoria Column,The First Avenue
20220403_031656,5,402.jpg,An aerial view of the city,Astoria aerial from Youngs Bay,A view from south of Molokini
20220403_031656,5,403.jpg,"The old Clatsop County Jail, used in the first scene of the film The Goonies. The site is now home to the Oregon Film Museum.",old Clatsop County Jail,"The old Vigo County Courthouse , where the building was held"
20220403_031656,5,500.jpg,"1484 copy of first page of Ptolemy's Tetrabiblos, translated into Latin by Plato of Tivoli","Ptolemy's Tetrabiblos, the Hellenistic text that founded Western astrology","A 19th-century copy of the Book of Cyprus , written by the city of Ancient Egyptian ."
20220403_031656,5,501.jpg,"Latin translation of Ab Mashar's De Magnis Coniunctionibus ('Of the great conjunctions'), Venice, 1515",Image of a Latin astrological text,The first page of the sole manuscript of the Bible
20220403_031656,5,550.jpg,An AGM-65 test-fired against an M48 tank (1978),AGM-65 M-48 pre impact.jpg,Figure 1 : Photograph taken with a wind camera .
20220403_031656,5,582.jpg,Odrysian golden wreath in the National History Museum,Thracian golden wreath exhibited in the National Historical Museum,An example of the bronze bronze in the National Museum of Natural History
20220403_031656,5,583.jpg,Krum feasts with nobles of his court following the victory over Nicephorus I,Krum feasts with nobles,"A contemporary depiction of Henry II and his son , Bla IV of Hungary"
20220403_031656,5,584.jpg,"The walls of Tsarevets fortress in Veliko Tarnovo, the capital of the second empire",A view of the walls of Tsarevets fortress in Tarnovo,The fortress of Constantinople
20220403_031656,5,585.jpg,The Russo-Bulgarian defence of Shipka Pass in 1877,"The Defence of the Eagle's Nest, painting by Alexey Popov from 1893, depicting the Defence of Shipka Pass","The Battle of Polotsk , by artist Juliusz Kossak"
20220403_031656,5,586.jpg,Borders of Bulgaria according to the preliminary Treaty of San Stefano,Map of Bulgaria according to the Treaty of San Stefano,Map of the Battle of Constantinople
20220403_031656,5,587.jpg,Tsar Boris III,A portrait of Tsar Boris III,Portrait of Nicholas I
20220403_031656,5,588.jpg,Topography of Bulgaria,Topographic map of Bulgaria,Map of Bulgaria
20220403_031656,5,589.jpg,"Lacerta viridis in Ropotamo, one of Bulgaria's 16 biosphere reserves","A Lacerta viridis, or European green lizard, on a tree stump in the Ropotamo reserve",A lizard on the island of the park .
20220403_031656,5,590.jpg,"Independence Square in Sofia: The headquarters of the Presidency (right), the National Assembly (centre) and the Council of Ministers (left).",The National Assembly building in Sofia,The Serbian Parliament Building in Copenhagen
20220403_031656,5,591.jpg,Rumen RadevPresident,Portrait of president Rumen Radev,Portrait of President of the Senate
20220403_031656,5,592.jpg,Mikoyan MiG-29 jet fighters of the Bulgarian Air Force,Bulgarian MiG-29 fighters in flight,An F/A-18A Hornet in flight
20220403_031656,5,594.jpg,Tree-map of Bulgarian exports in 2016,Economic complexity chart showing the various kinds of Bulgarian exports,Map of the urban area of Asia
20220403_031656,5,595.jpg,The launch of BulgariaSat-1 by SpaceX,A SpaceX Falcon 9 rocket launching BulgariaSat-1 in June 2017,The launch of the Hubble Space Shuttle Columbia 's launch launch in June 2017
20220403_031656,5,596.jpg,Trakia motorway,"Trakiya motorway, one of the main national motorways",The Kalyves Polygyrou motorway dividing the village of the region .
20220403_031656,5,597.jpg,Population trend since 1960,Population graph,An example of a typical Neon Lamp [ dubious discuss ]
20220403_031656,5,598.jpg,The Rectorate of Sofia University,Sofia University building,The University of Leeds
20220403_031656,5,599.jpg,Kuker in Lesichovo,Bulgarian Kuker,The traditional texts of the Bulgaria
20220403_031656,5,600.jpg,"Christo's Mastaba in Hyde Park, London","Christo's Mastaba installation in Hyde Park, London","The Last Supper sculpture in Hyde Park , London ."
20220403_031656,5,601.jpg,Grigor Dimitrov at the 2015 Italian Open,Grigor Dimitrov in 2017,David Coulthard won the award in the 199697 NBA season .
20220403_031656,5,740.jpg,"British (red) and French (blue) armies begin engagement of the decisive Battle of Waterloo, with Prussian forces (gray) arriving from the northeast",Overhead diagram of movement of forces at Battle of Waterloo,Map of the Battle of Waterloo
20220403_031656,5,760.jpg,North American B-25 Mitchell production in Kansas City in 1942,Interior of huge aircraft factory where rows of bombers are being assembled,A view of a Boeing Everett Factory
20220403_031656,5,761.jpg,Late war development B-25J2 Mitchell strafer bomber,"Black and white photo of an early bomber parked perpendicular to the camera, facing left, rearward of the wing is a star in front of horizontal stripes.",The first EC-121 Warning Star radar search aircraft
20220403_031656,5,762.jpg,The B-25 engine cowling assembly,B-25 Engine Assembly,One of the four B-1As were fitted with a Rolls-Royce R .
20220403_031656,5,794.jpg,"Rail usage in Great Britain, 18302019",Line graph,A diagram of a typical Neon Lamp [ dubious discuss ]
20220403_031656,5,795.jpg,The Waterloo & City line was part of Network SouthEast.,Underground train in a station,The train station in France
20220403_031656,5,808.jpg,"Mrs Rundell's recipe, 1806","scan of early 19th century page of text, giving ingredients as in the adjoining paragraph to this image",The first page of the original title page from Barbauld 's translation of work
20220403_031656,5,810.jpg,"A BASE jumper makes a legal jump on Bridge Day at the New River Gorge Bridge in Fayetteville, West Virginia.",BASE jump on Bridge Day,The Hawaiian monk sign
20220403_031656,5,811.jpg,Brain imaging studies have revealed differences in the volume of various brain regions between patients with bipolar disorder and healthy control subjects.,3-D image of human brain emphasizing emotional regulation circuits,An example of human brain development .
20220403_031656,5,812.jpg,"Since Emil Kraepelin's distinction between bipolar disorder and schizophrenia in the 19th century, researchers have defined a spectrum of different types of bipolar disorder.",Kraepelin looking to the side,John Maynard Keynes
20220403_031656,5,849.jpg,"The Hawker Typhoon, especially when armed with eight RP-3 rockets, posed a threat to German armour and motor vehicles during the Battle of Normandy in 1944.",A British designed single engine ground attack aircraft equipped with cannon and rockets,The first British Phantom of No . 43 Squadron at the end of the war
20220403_031656,5,850.jpg,"In Poland, fast moving armies encircled Polish forces (blue circles) but not by independent armoured operations. Combined tank, artillery, infantry and air forces were used.","A map of Poland showing the German invasion from east Germany, East Prussia and German-occupied Czechoslovakia in September 1939",Map showing the German occupation of Yugoslavia ( 1941 ) and German ( Polish ) armies during the German invasion of Poland
20220403_031656,5,851.jpg,"After 194142, armoured formations were increasingly used as a mobile reserve against Allied breakthroughs. The blue arrows depict armoured counter-attacks.",Map depicting Allied breakthroughs of the German line. The German armour is held back and committed to seal the breakthrough,Battle of Abensberg
20220403_031656,5,908.jpg,"The Roman poet Catullus was virtually unknown during the medieval period, in contrast to his modern popularity.","Photograph of a bronze bust of a man. It rests on a stone plinth, on which the words ""Gaius Valerius Catullus 87 AC54 AC"" are written.",A bust of Emperor Maximinus Thrax
20220403_031656,5,909.jpg,"The eighteenth-century classicist Friedrich August Wolf was the author of Prolegomena to Homer, one of the first great works of classical philology.",Black-and-white image of Friedrich August Wolf in profile,Portrait of Johann Walter
20220403_031656,5,910.jpg,Schliemann and Drpfeld's excavation at Mycenae was one of the earliest excavations in the field of classical archaeology.,Black and white photograph of the Lion Gate at Mycenae.,The Golden Gate of Constantinople .
20220403_031656,5,911.jpg,So influential was Socrates to classical philosophy that earlier philosophers are today known as pre-Socratics.,A bust of Socrates,A bust of Emperor Maximinus Thrax
20220403_031656,5,912.jpg,"The Praeneste fibula is believed to bear the oldest known Latin inscription. The inscription means ""Manius made me for Numerius"".",Photograph of a gold brooch,The Golden Bull Medal
20220403_031656,5,927.jpg,"Computer science deals with the theoretical foundations of information, algorithms and the architectures of its computation as well as practical techniques for their application.",Expression for Church numerals in lambda calculus,Figure 1 : An example for example of a natural plant in C .
20220403_031656,5,954.jpg,Cameroon President Paul Biya (right) with Colin Powell,"Colin Powell and Cameroon president Paul Biya, smiling and talking","John Maynard , President of the United States"
20220403_031656,5,955.jpg,Croatian Ecological and Fisheries Protection Zone of the Adriatic Sea,Map with water in the center,A map of the river system
20220403_031656,5,956.jpg,Kornati national park,Coastline with rocky shore,The reserve in 2006
20220403_031656,5,957.jpg,Dinara seen from Knin,Picture of large mountain with about 30-degree sloped sides,The Itcha Range as seen from the south
20220403_031656,5,958.jpg,A plain in Slavonia,Plain with a tree in the middle,The Colle di Gavia was the Cima Coppi for the 2004 Giro d'Italia .
20220403_031656,5,959.jpg,"Sava, the longest river in Croatia",River under bridge with city in background,View of bridge over the River
20220403_031656,5,960.jpg,"Plitvice Lakes National Park, a UNESCO World Heritage Site",Two greenish-blue lakes in a forest,The Klamath River is one of the largest waterfall in the park .
20220403_031656,5,961.jpg,"Kopaki Rit nature park, one of the largest wetlands in Europe",Trees over water,A view of the park
20220403_031656,5,962.jpg,Karst in National Park Sjeverni Velebit,Vertically-cracked grey rock,"The Northern Cordilleran Volcanic Province , South Australia"
20220403_031656,5,963.jpg,Forest-covered Papuk,View from the air of a forest-covered mountain,The forest of the pass
20220403_031656,5,964.jpg,2011 Croatian population density by county in persons per km2: <30 30-49 50-69 70-89 90-119 120-200 >1200,Map with red spot in upper center reflecting Zagreb's population density of over 1200 people per square kilometre,Map of municipalities of the municipalities and its location
20220403_031656,5,965.jpg,NUTS of Croatia: Northwest CroatiaCentral and Eastern (Pannonian) CroatiaAdriatic Croatia,"Division of Croatia into 3 sections, one coastal, one upper left, and one with the rest",Map of the eastern areas of the Kingdom of Yugoslavia
20220403_031656,5,1079.jpg,"The pits in a CD are 500 nm wide, between 830 nm and 3,000 nm long and 150 nm deep.",This is a photomicrograph of the pits at the inner edge of a CD-ROM; 2-second exposure under visible fluorescent light.,An example of a typical aquarium at one of the first hard field
20220403_031656,5,1080.jpg,Seen as Cela Sculptoris in the lower right of this 1825 star chart from Urania's Mirror,Caelum depicted in Urania's Mirror,"The protagonist Sennacherib by Titian , giving"
20220403_031656,5,1081.jpg,The constellation Caelum as it can be seen by the naked eye.,"Image of the constellation Caelum, showing the pattern of its stars as seen in the night sky","The constellation of Venus , as seen by the naked eye ."
20220403_031656,5,1082.jpg,"The Seyfert galaxy HE0450-2958, an unusual active galaxy in Caelum","An image of the Seyfert galaxy HE0450-2958, showing the active nucleus",The orbit of NGC 1512 ( left ) and the dwarf galaxy NGC 1510
20220403_031656,5,1149.jpg,"""Ye Gude Olde Days"" from Hockey: Canada's Royal Winter Game, 1899",Cartoon drawing of hockey game and people falling through the ice,An early sketch of the Ottawa Hockey Club
20220403_031656,5,1160.jpg,"Women of the Harem by Jules Laurens, circa 1847","Painting of seated women, with man standing",The fourth century CE
20220403_031656,5,1161.jpg,Tenebrionid beetle in the Thar Desert,Beetle found in Tharparkar District,"A specimen from Tharparkar , Sindh"
20220403_031656,5,1162.jpg,Parc Cwm long cairn forecourt  from the south east,"A short dry-stone wall retains boulders to form a cairn. The wall is missing at the front, right section, where the rubble has tumbled out, leaving a (previously covered) orthostat exposed. The wall forms a courtyard at the cromlech's entrance. Flat ground of short grass surrounds the cairn. The background is of shaded trees, mainly in leaf.",The ashlar podium at the south wall
20220403_031656,5,1164.jpg,Example of a modern cartoon. The text was excerpted by cartoonist Greg Williams from the Wikipedia article on Dr. Seuss.,"A cartoon shows a bearded man with a red bow tie holding numerous items. He holds the hat from Dr. Seuss's ""The Cat in the Hat"" and balances a fishbowl on his left index finger.",The cover of the first tankbon released in 1951 .
20220403_031656,5,1165.jpg,"Nast depicts the Tweed Ring: ""Who stole the people's money?"" / ""'Twas him.""",A cartoon showing a circle of men pointing their fingers at the man to their right with grimaces on their faces.,A contemporary depiction of the first two of the Middle Ages .
20220403_031656,5,1174.jpg,"Roger Waters (saluting on top) leading a live performance of Pink Floyd's The Wall, one of the best-known concept albums of all time.","A concert stage in front of a wall with 2 levels. Five men stand on a balcony, including Roger Waters, who is saluting with his arm and is lit by a spotlight. On the lower level is a drum kit and a man playing guitar.","The Wall Live in Berlin , 21 July 1990"
20220403_031656,5,1179.jpg,Captain America Comics #1 (March 1941). Cover art by Joe Simon (inks and pencils) and Jack Kirby (pencils).,"The front page of the first Captain America comic depicts Captain America punching Adolf Hitler in the jaw. A Nazi soldier's bullet deflects from Captain America's shield, while Adolf Hitler falls onto a map of the United States of America and a document reading 'Sabotage plans for U.S.A.'","The cover of the first issue of The Man of War Comics in Tintin magazine , as he appears in the first American version of the Batman issue ."
20220403_031656,5,1201.jpg,Logo of the German Institute for Standardization.,"Upper case san-serif letters ""d"", ""i"", ""n"" with narrow black bars above and below",The logo for the `` H ''
20220403_031656,5,1202.jpg,Head office of the German Institute for Standardization in Berlin-Tiergarten.,DIN headquarters is a modern 7-story office building with their logo on the front,"The headquarters of the headquarters of the Government Center in Brighton , England"
20220403_031656,5,1232.jpg,An eight-year-old boy with Down syndrome,An eight-year-old boy,A young boy with an open field
20220403_031656,5,1289.jpg,"A diagram of Wheeler's delayed choice experiment, showing the principle of determining the path of the photon after it passes through the slit",Wheeler's Delayed Choice Experiment,The angles of the attraction-repulsion triangle problem .
20220403_031656,5,1291.jpg,Trajectories of particles under De BroglieBohm theory in the double-slit experiment.,Bohmian trajectories,An example of the PohligHellman algorithm .
20220403_031656,5,1343.jpg,Schematic of Earth's magnetosphere. The solar wind flows from left to right,Diagram showing the magnetic field lines of Earth's magnetosphere. The lines are swept back in the anti-solar direction under the influence of the solar wind.,The surface of the water is used as a star .
20220403_031656,5,1344.jpg,Water is transported to various parts of the hydrosphere via the water cycle.,"Water typically evaporates over water surfaces like oceans and is transported to land via the atmosphere. Precipitation in the form of snow, rain and more then brings it back to the surface. A system of rivers brings the water back to oceans and seas.",The water is made by the hurricane
20220403_031656,5,1403.jpg,Robert Schuman proposing the Coal and Steel Community on 9 May 1950,Schuman Declaration.ogg,Sir Alex Ferguson .
20220403_031656,5,1404.jpg,European Union 20142020 Multiannual Financial Framework,European Union 20142020 Multiannual Financial Framework,The European Union Convention Initiative
20220403_031656,5,1405.jpg,"Hemingway in uniform in Milan, 1918. He drove ambulances for two months until he was wounded.",photograph of a young man dressed in a military uniform,A group of captured Yugoslav generals in Zagreb
20220403_031656,5,1406.jpg,"Hemingway's 1923 passport photo. At this time, he lived in Paris with his wife Hadley, and worked as a foreign correspondent for the Toronto Star Weekly.",Passport photograph,The Allan Cup
20220403_031656,5,1407.jpg,"The Hemingway House in Key West, Florida, where he lived between 1931 and 1939 and where he wrote To Have and Have Not",photograph of a house,The house on the site of the house
20220403_031656,5,1408.jpg,"Ernest, Pauline, Bumby, Patrick, and Gregory Hemingway pose with marlins after a fishing trip to Bimini in 1935","photograph of a man, a woman, and three boys",The music video for `` The Girls '' is based on a poem by James Roday .
20220403_031656,5,1409.jpg,"Hemingway (center) with Dutch filmmaker Joris Ivens and German writer Ludwig Renn (serving as an International Brigades officer) in Spain during Spanish Civil War, 1937",photograph of three men,"The group of Walter Canyon ( left ) and George Merz ( far right ) of the Mesopotamian Half Flight at Basra , July 1915"
20220403_031656,5,1410.jpg,"Hemingway with Col. Charles ""Buck"" Lanham in Germany, 1944, during the fighting in Hrtgenwald, after which he became ill with pneumonia.",photograph of two men,"The Experience , 1968"
20220403_031656,5,1411.jpg,"Hemingway in the cabin of his boat Pilar, off the coast of Cuba, c. 1950",photograph of a man,Portrait of John Bradford
20220403_031656,5,1412.jpg,"Hemingway bird-hunting at Silver Creek, near Picabo, Idaho, January 1959; with him are Gary Cooper and Bobbie Peterson",photograph of two men and woman,"Portrait of John A. Johnston ( left ) , the head of the Ordnungspolizei , from the President of New York"
20220403_031656,5,1429.jpg,A wooden shipping crate for the 14th edition of the Britannica,"A wooden crate reading ""THE / ENCYCLOPAEDIA / BRITANNICA / STANDARD OF THE WORLD / FOURTEENTH EDITION / BLUE CLOTH / BOOKS KEEP DRY""",The original edition of the Library of the United Kingdom
20220403_031656,5,1431.jpg,"Sign in a Rite Aid drugstore using common American euphemisms for (from top) contraceptives, douches, tampons, and menstrual pads, respectively","A yellow sign with a pointed bottom. At the top is the number 5 in an oval with a blue background. Below it are the words ""family planning"", ""feminine hygiene"", ""feminine protection"" and ""sanitary protection""",The National Bank of Canada 's first volume of the Austrian family is shown in yellow
20220403_031656,5,1432.jpg,Lightning is one of the most dramatic effects of electricity.,Multiple lightning strikes on a city at night,"The aftermath of a population of water , as depicted as a symbol"
20220403_031656,5,1433.jpg,"Thales, the earliest known researcher into electricity",A bust of a bearded man with dishevelled hair,Portrait of Isaac Perry
20220403_031656,5,1434.jpg,"Benjamin Franklin conducted extensive research on electricity in the 18th century, as documented by Joseph Priestley (1767) History and Present Status of Electricity, with whom Franklin carried on extended correspondence.","A half-length portrait of a bald, somewhat portly man in a three-piece suit.","John Douglas , author of the majority opinion"
20220403_031656,5,1435.jpg,Michael Faraday's discoveries formed the foundation of electric motor technology,Half-length portrait oil painting of a man in a dark suit,"Portrait of John Rennie , 1810 , by Sir Henry Raeburn"
20220403_031656,5,1436.jpg,Charge on a gold-leaf electroscope causes the leaves to visibly repel each other,A clear glass dome has an external electrode which connects through the glass to a pair of gold leaves. A charged rod touches the external electrode and makes the leaves repel.,A microscope .
20220403_031656,5,1437.jpg,An electric arc provides an energetic demonstration of electric current,Two metal wires form an inverted V shape. A blindingly bright orange-white electric arc flows between their tips.,The two of the three colors of one of the two colors are visible at the bottom left of the image .
20220403_031656,5,1438.jpg,A pair of AA cells. The +sign indicates the polarity of the potential difference between the battery terminals.,Two AA batteries each have a plus sign marked at one end.,The light cone .
20220403_031656,5,1439.jpg,Magnetic field circles around a current,"A wire carries a current towards the reader. Concentric circles representing the magnetic field circle anticlockwise around the wire, as viewed by the reader.",The electrical power system
20220403_031656,5,1440.jpg,The electric motor exploits an important effect of electromagnetism: a current through a magnetic field experiences a force at right angles to both the field and current,A cut-away diagram of a small electric motor,An electric field model
20220403_031656,5,1441.jpg,Wind power is of increasing importance in many countries,A wind farm of about a dozen three-bladed white wind turbines.,The wind farm
20220403_031656,5,1494.jpg,"Mentmore Towers, one of the settings used by the film",A mansion with four towers.,Ruins of the Castle of the Dukes of Brittany
20220403_031656,5,1501.jpg,"Title page of the second edition of Samuel Richardson's epistolary novel Pamela; or, Virtue Rewarded (1740), a bestselling early epistolary novel which prompted artistic interest in the epistolary form.","Pamela: Or, Virtue Rewarded. In a Series of Familiar Letters from a Beautiful Young Damsel, to her Parents.",A page from the first edition of The Fairchild Family
20220403_031656,5,1502.jpg,"Title page of Aphra Behn's early epistolary novel, Love-Letters Between a Nobleman and His Sister (1684).","Love-Letters between a Nobleman and His Sister. London, Printed, and to be sold by Randal Taylor, near Stationers' Hall. MDCLXXXIV.",Title page from the first edition of Locke 's Some Thoughts Concerning Education ( 1693 )
20220403_031656,5,1526.jpg,"A typical stormwater outfall, subject to water quality law",A typical stormwater outfall.,The water is an important area for flooding .
20220403_031656,5,1527.jpg,"A municipal landfill, operated pursuant to waste management law",A landfill.,A copper mine .
20220403_031656,5,1528.jpg,"Oil spill emergency response, governed by environmental cleanup law",Oil spill cleanup.,An oil storage facility in 2007 .
20220403_031656,5,1529.jpg,"A timber operation, regulated by forestry law",A timber operation.,The power plant in the United States .
20220403_031656,5,1578.jpg,Two dimensions of emotions. Made accessible for practical use.,Sorting emotions into unpleasant-pleasant and activated-calm.,An example of a typical brain network .
20220403_031656,5,1584.jpg,Joseph Story wrote the opinion in Folsom v. Marsh.,Oil portrait of Joseph Story,"John Morgan , author of the unanimous opinion"
20220403_031656,5,1585.jpg,The unpublished nature of J. D. Salinger's letters was a key issue in the court's analysis of the second fair use factor in Salinger v. Random House.,Signature of J.D. Salinger in 1950,The D. E. B is an early Bowie for the series .
